"filename", "language", "C++", "CMake", "JSON", "Markdown", "comment", "blank", "total"
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.h", "C++", 25, 0, 0, 0, 0, 4, 29
"d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.cpp", "C++", 23, 0, 0, 0, 5, 6, 34
"d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.h", "C++", 27, 0, 0, 0, 7, 4, 38
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.cpp", "C++", 58, 0, 0, 0, 4, 9, 71
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.h", "C++", 25, 0, 0, 0, 5, 5, 35
"d:\qtproject\FeiQ2\code\networkModule\Socket.cpp", "C++", 389, 0, 0, 0, 81, 39, 509
"d:\qtproject\FeiQ2\code\networkModule\Socket.h", "C++", 139, 0, 0, 0, 29, 21, 189
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.cpp", "C++", 99, 0, 0, 0, 9, 23, 131
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.h", "C++", 18, 0, 0, 0, 6, 3, 27
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.cpp", "C++", 148, 0, 0, 0, 55, 24, 227
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.h", "C++", 76, 0, 0, 0, 14, 7, 97
"d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.cpp", "C++", 23, 0, 0, 0, 4, 5, 32
"d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.h", "C++", 40, 0, 0, 0, 5, 3, 48
"d:\qtproject\FeiQ2\code\task\CurrentTask.h", "C++", 151, 0, 0, 0, 49, 15, 215
"d:\qtproject\FeiQ2\code\task\Mapper.h", "C++", 33, 0, 0, 0, 0, 6, 39
"d:\qtproject\FeiQ2\code\threadPool\ThreadPool.h", "C++", 82, 0, 0, 0, 9, 8, 99
"d:\qtproject\FeiQ2\test\BoostAsio\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\test\BoostAsio\test.cpp", "C++", 125, 0, 0, 0, 13, 17, 155
